Key;Type;Desc;English;Vietnamese [vi]
Story/Tangaroa/Ruben1;Text;;"Captain Tulley ordered us to push the engines to their limits. We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor. I sent a message up the tower. Tulley doesn’t care.

I hope you’re faring better, Hanne. Much better.
~Ruben";"Thuyền trưởng Tulley ra lệnh cho chúng tôi đẩy động cơ đến giới hạn. Chúng tôi đang cố thoát khỏi một đội bè, hay gì đó. Nó sẽ làm lò phản ứng quá nhiệt. Tôi đã gửi tin nhắn lên tháp. Tulley không quan tâm.

Tôi mong em ổn hơn, Hanne. Tốt hơn nhiều.
~Ruben"
Story/Tangaroa/Ruben2;Text;;"The engines are done. People upstairs are already upset over the extreme rationing. Now we’re at the mercy of the waves.

And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. I don’t care what Captain Tulley says.

I really could’ve used you here, Hanne.
~Ruben";"Động cơ đã xong. Mọi người trên tầng trên đã bực bội vì việc phân phối lương thực cực đoan. Giờ chúng tôi phó mặc cho sóng biển.

Và những chiếc bè ở đường chân trời đang tiến lại gần hơn từng giờ. Tôi đang niêm phong lò phản ứng ngay bây giờ. Tôi không quan tâm Thuyền trưởng Tulley nói gì.

Giá mà có em ở đây, Hanne.
~Ruben"
Story/Tangaroa/Ruben3;Text;;"There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out. Some supported Tulley’s orders. Others really did not.

A smaller raft made its way into the water entrance. But there was only a kid onboard. His parents were sick, I think. Poor boy isn’t saying much. 

Tangaroa’s a lost cause. We’re getting out of here.
~Ruben";"Có tiếng la hét trên tầng. Sau khi Thuyền trưởng nổ súng vào người lái bè, một cuộc bạo loạn khủng khiếp đã nổ ra. Một số ủng hộ mệnh lệnh của Tulley. Số khác thì hoàn toàn không.

Một chiếc bè nhỏ hơn đã vào được lối vào bằng nước. Nhưng chỉ có một đứa trẻ trên đó. Bố mẹ nó bị bệnh, tôi nghĩ vậy. Cậu bé tội nghiệp không nói nhiều.

Tangaroa vô phương cứu chữa rồi. Chúng ta sẽ rời khỏi đây.
~Ruben"
Story/Tangaroa/Ruben4;Text;;"Things have gone quiet. Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! It’s like some kind of dumb guerilla war upstairs.

We’re fixing up a boat, but there’s no engine. The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.

Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.
~Ruben";"Mọi thứ đã im ắng lại. Các đội an ninh vẫn tuần tra bằng những chiếc xe golf lố bịch của họ để cố giữ vẻ trật tự nào đó. Tôi nghe nói người lái bè đã thả một loại chuột nào đó. Ồ, và họ còn gắn súng điện lên tất cả robot quản gia! Nó giống như một cuộc chiến du kích ngớ ngẩn nào đó trên tầng trên.

Chúng tôi đang sửa một chiếc thuyền, nhưng không có động cơ. Đứa trẻ lái bè nghĩ chúng tôi có thể lấy một trong những động cơ xe golf. Không phải ý tồi.

Thuyền trưởng Tulley và các 'nhà đầu tư' vẫn ở trên tháp. Tôi nói cứ để họ mục rữa ở đó.
~Ruben"
Story/Tangaroa/Ruben5;Text;;"The kid’s name is Detto. How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.

We’ll be gathering up a few more survivors before we head off. The rafters either hid up in the apartments or left to sea. Most of them seemed sick. No wonder they were so desperate. 

We need to hurry. Those large rats that came with the rafters are aggressive. I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. Remember the place we heard about? The sanctuary? We’ll meet there. I know it.

I’ll see you there. Utopia.
~Ruben";"Tên cậu bé là Detto. Tôi sẽ không bao giờ hiểu được sao ở tuổi đó cậu ấy có thể tái chế một động cơ như vậy, nhưng giờ chúng tôi đã có thuyền hoạt động.

Chúng tôi sẽ gom thêm vài người sống sót trước khi lên đường. Người lái bè hoặc trốn trong các căn hộ hoặc đã ra khơi. Hầu hết trông có vẻ bị bệnh. Không trách được sao họ tuyệt vọng đến vậy.

Chúng ta cần khẩn trương. Những con chuột lớn đi cùng người lái bè rất hung dữ. Tôi nói cứ để chúng gặm nát Tangaroa thành từng mảnh. Anh đang đến với em, Hanne. Nhớ nơi chúng ta từng nghe đến không? Nơi trú ẩn ấy? Chúng ta sẽ gặp nhau ở đó. Anh biết mà.

Anh sẽ gặp em ở đó. Utopia.
~Ruben"
Story/Tangaroa/TulleyNote;Text;;"My name is James Tulley. This is my final message. Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. But we were never sustainable. I should have accepted that months ago.

When the rafters arrived I could have let them starve with us. But I didn't. The only right choice was to abandon Tangaroa to the waves.

Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world. Don’t worry. We’ll pay for our sins before the end.
~Captain Tulley";"Tên tôi là James Tulley. Đây là thông điệp cuối cùng của tôi. Thành phố Tangaroa được xây dựng hoàn toàn dựa trên lý thuyết, sử dụng những động cơ hầu như chưa được thử nghiệm, giữ với nhau bằng mồ hôi và nước mắt của thủy thủ đoàn chúng tôi. Nhưng chúng tôi chưa bao giờ bền vững. Lẽ ra tôi nên chấp nhận điều đó từ nhiều tháng trước.

Khi những người lái bè đến, tôi đã có thể để họ chết đói cùng chúng tôi. Nhưng tôi đã không làm vậy. Lựa chọn đúng đắn duy nhất là bỏ Tangaroa cho sóng biển.

Giờ tôi sẽ ở lại đây, mắc kẹt trong buồng lái với hai chục kẻ ngốc từng điều hành cả thế giới. Đừng lo. Chúng tôi sẽ trả giá cho tội lỗi của mình trước khi kết thúc.
~Thuyền trưởng Tulley"
Story/Tangaroa/Voiceline/GardenerDiary_1;Text;;Oh no, no, no. The entire ecosystem is ruined! ;Ôi không, không, không. Toàn bộ hệ sinh thái đã bị hủy hoại!
Story/Tangaroa/Voiceline/GardenerDiary_2;Text;;I’ve WARNED Captain Tulley about this for weeks now.;Tôi đã CẢNH BÁO Thuyền trưởng Tulley về chuyện này nhiều tuần nay rồi.
Story/Tangaroa/Voiceline/GardenerDiary_3;Text;;My contract doesn’t allow me to tell anyone else and it’s eating me up inside.;Hợp đồng của tôi không cho phép tôi nói với ai khác và điều đó cứ giày vò tôi từ bên trong.
Story/Tangaroa/Voiceline/GardenerDiary_4;Text;;The banana plants won’t bear nearly enough fruit. Not to mention the infestations…;Mấy cây chuối sẽ không cho đủ trái. Chưa kể đến nạn sâu bệnh...
Story/Tangaroa/Voiceline/GardenerDiary_5;Text;;We’ll be starving by the end of the year. If not sooner!;Chúng ta sẽ chết đói vào cuối năm nay. Nếu không sớm hơn!
Story/Tangaroa/Voiceline/RiotLog_1;Text;;(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”;"(An ninh) - ""Không thưa sếp, họ chưa làm gì hung hăng cả. Vâng, họ vẫn chỉ đang hô khẩu hiệu."""
Story/Tangaroa/Voiceline/RiotLog_2;Text;;(Captain Tulley) - *Muffled response.*;(Thuyền trưởng Tulley) - *Phản hồi không rõ.*
Story/Tangaroa/Voiceline/RiotLog_3;Text;;(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”;"(An ninh) - ""Vâng thưa sếp, tôi có vũ trang. Nhưng nếu được nói thẳng, chúng ta có thể dùng vòi rồng nếu-"""
Story/Tangaroa/Voiceline/RiotLog_4;Text;;(Captain Tulley) - *Muffled order.*;(Thuyền trưởng Tulley) - *Mệnh lệnh không rõ.*
Story/Tangaroa/Voiceline/RiotLog_5;Text;;(Security) - ”Yes, sir. No, sir.” ;"(An ninh) - ""Vâng, thưa sếp. Không, thưa sếp."""
Story/Tangaroa/Voiceline/RiotLog_6;Text;;(Security) - ”Tulley says shoot to wound..?”;"(An ninh) - ""Tulley bảo bắn để gây thương tích..?"""
Story/Tangaroa/Voiceline/Ruben1_1;Text;;Captain Tulley ordered us to push the engines to their limits.;Thuyền trưởng Tulley ra lệnh cho chúng tôi đẩy động cơ đến giới hạn.
Story/Tangaroa/Voiceline/Ruben1_2;Text;;We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor.;Chúng tôi đang cố thoát khỏi một đội bè, hay gì đó. Nó sẽ làm lò phản ứng quá nhiệt.
Story/Tangaroa/Voiceline/Ruben1_3;Text;;I sent a message up the tower. Tulley doesn’t care.;Tôi đã gửi tin nhắn lên tháp. Tulley không quan tâm.
Story/Tangaroa/Voiceline/Ruben1_4;Text;;I hope you’re faring better, Hanne. Much better.;Tôi mong em ổn hơn, Hanne. Tốt hơn nhiều.
Story/Tangaroa/Voiceline/Ruben2_1;Text;;The engines are done. People upstairs are already upset over the extreme rationing.;Động cơ đã xong. Mọi người trên tầng trên đã bực bội vì việc phân phối lương thực cực đoan.
Story/Tangaroa/Voiceline/Ruben2_2;Text;;Now we’re at the mercy of the waves.;Giờ chúng tôi phó mặc cho sóng biển.
Story/Tangaroa/Voiceline/Ruben2_3;Text;;And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. ;Và những chiếc bè ở đường chân trời đang tiến lại gần hơn từng giờ. Tôi đang niêm phong lò phản ứng ngay bây giờ.
Story/Tangaroa/Voiceline/Ruben2_4;Text;;I don’t care what Captain Tulley says. I really could’ve used you here, Hanne.;Tôi không quan tâm Thuyền trưởng Tulley nói gì. Giá mà có em ở đây, Hanne.
Story/Tangaroa/Voiceline/Ruben3_1;Text;;There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out.;Có tiếng la hét trên tầng. Sau khi Thuyền trưởng nổ súng vào người lái bè, một cuộc bạo loạn khủng khiếp đã nổ ra.
Story/Tangaroa/Voiceline/Ruben3_2;Text;;Some supported Tulley’s orders. Others really did not.;Một số ủng hộ mệnh lệnh của Tulley. Số khác thì hoàn toàn không.
Story/Tangaroa/Voiceline/Ruben3_3;Text;;A smaller raft made its way into the water entrance. But there was only a kid onboard.;Một chiếc bè nhỏ hơn đã vào được lối vào bằng nước. Nhưng chỉ có một đứa trẻ trên đó.
Story/Tangaroa/Voiceline/Ruben3_4;Text;;His parents were sick, I think. Poor boy isn’t saying much. ;Bố mẹ nó bị bệnh, tôi nghĩ vậy. Cậu bé tội nghiệp không nói nhiều.
Story/Tangaroa/Voiceline/Ruben3_5;Text;;Tangaroa’s a lost cause. We’re getting out of here.;Tangaroa vô phương cứu chữa rồi. Chúng ta sẽ rời khỏi đây.
Story/Tangaroa/Voiceline/Ruben4_1;Text;;Things have gone quiet.;Mọi thứ đã im ắng lại.
Story/Tangaroa/Voiceline/Ruben4_2;Text;;Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. ;Các đội an ninh vẫn tuần tra bằng những chiếc xe golf lố bịch của họ để cố giữ vẻ trật tự nào đó.
Story/Tangaroa/Voiceline/Ruben4_3;Text;;I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! ;Tôi nghe nói người lái bè đã thả một loại chuột nào đó. Ồ, và họ còn gắn súng điện lên tất cả robot quản gia!
Story/Tangaroa/Voiceline/Ruben4_4;Text;;It’s like some kind of dumb guerilla war upstairs.;Nó giống như một cuộc chiến du kích ngớ ngẩn nào đó trên tầng trên.
Story/Tangaroa/Voiceline/Ruben4_5;Text;;We’re fixing up a boat, but there’s no engine.;Chúng tôi đang sửa một chiếc thuyền, nhưng không có động cơ.
Story/Tangaroa/Voiceline/Ruben4_6;Text;;The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.;Đứa trẻ lái bè nghĩ chúng tôi có thể lấy một trong những động cơ xe golf. Không phải ý tồi.
Story/Tangaroa/Voiceline/Ruben4_7;Text;;Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.;Thuyền trưởng Tulley và các 'nhà đầu tư' vẫn ở trên tháp. Tôi nói cứ để họ mục rữa ở đó.
Story/Tangaroa/Voiceline/Ruben4_8;Text;;Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.;Thuyền trưởng Tulley và các 'nhà đầu tư' vẫn ở trên tháp. Tôi nói cứ để họ mục rữa ở đó.
Story/Tangaroa/Voiceline/Ruben5_1;Text;;The kid’s name is Detto.;Tên cậu bé là Detto.
Story/Tangaroa/Voiceline/Ruben5_2;Text;;How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.;Tôi sẽ không bao giờ hiểu được sao ở tuổi đó cậu ấy có thể tái chế một động cơ như vậy, nhưng giờ chúng tôi đã có thuyền hoạt động.
Story/Tangaroa/Voiceline/Ruben5_3;Text;;We’ll be gathering up a few more survivors before we head off.;Chúng tôi sẽ gom thêm vài người sống sót trước khi lên đường.
Story/Tangaroa/Voiceline/Ruben5_4;Text;;The rafters either hid up in the apartments or left to sea. Most of them seemed sick. ;Người lái bè hoặc trốn trong các căn hộ hoặc đã ra khơi. Hầu hết trông có vẻ bị bệnh.
Story/Tangaroa/Voiceline/Ruben5_5;Text;;No wonder they were so desperate. We need to hurry. ;Không trách được sao họ tuyệt vọng đến vậy. Chúng ta cần khẩn trương.
Story/Tangaroa/Voiceline/Ruben5_6;Text;;Those large rats that came with the rafters are aggressive.;Những con chuột lớn đi cùng người lái bè rất hung dữ.
Story/Tangaroa/Voiceline/Ruben5_7;Text;;I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. ;Tôi nói cứ để chúng gặm nát Tangaroa thành từng mảnh. Anh đang đến với em, Hanne.
Story/Tangaroa/Voiceline/Ruben5_8;Text;;Remember the place we heard about? The sanctuary? We’ll meet there. I know it.;Nhớ nơi chúng ta từng nghe đến không? Nơi trú ẩn ấy? Chúng ta sẽ gặp nhau ở đó. Anh biết mà.
Story/Tangaroa/Voiceline/Ruben5_9;Text;;I’ll see you there. Utopia.;Anh sẽ gặp em ở đó. Utopia.
Story/Tangaroa/Voiceline/TulleyNote_1;Text;;My name is James Tulley. This is my final message.;Tên tôi là James Tulley. Đây là thông điệp cuối cùng của tôi.
Story/Tangaroa/Voiceline/TulleyNote_2;Text;;Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. ;Thành phố Tangaroa được xây dựng hoàn toàn dựa trên lý thuyết, sử dụng những động cơ hầu như chưa được thử nghiệm, giữ với nhau bằng mồ hôi và nước mắt của thủy thủ đoàn chúng tôi.
Story/Tangaroa/Voiceline/TulleyNote_3;Text;;But we were never sustainable. I should have accepted that months ago.;Nhưng chúng tôi chưa bao giờ bền vững. Lẽ ra tôi nên chấp nhận điều đó từ nhiều tháng trước.
Story/Tangaroa/Voiceline/TulleyNote_4;Text;;When the rafters arrived I could have let them starve with us. But I didn't.;Khi những người lái bè đến, tôi đã có thể để họ chết đói cùng chúng tôi. Nhưng tôi đã không làm vậy.
Story/Tangaroa/Voiceline/TulleyNote_5;Text;;The only right choice was to abandon Tangaroa to the waves.;Lựa chọn đúng đắn duy nhất là bỏ Tangaroa cho sóng biển.
Story/Tangaroa/Voiceline/TulleyNote_6;Text;;Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world.;Giờ tôi sẽ ở lại đây, mắc kẹt trong buồng lái với hai chục kẻ ngốc từng điều hành cả thế giới.
Story/Tangaroa/Voiceline/TulleyNote_7;Text;;Don’t worry. We’ll pay for our sins before the end.;Đừng lo. Chúng tôi sẽ trả giá cho tội lỗi của mình trước khi kết thúc.
Story/Temperance/Bruno1;Text;;"I’ve already lost MIRANDA. I will not lose you too, HENRY.

The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. 

HENRY is skeptical. He thinks the cold will be dangerous. I'm more scared of whatever’s out there in the snowstorm…
~Bruno";"Tôi đã mất MIRANDA rồi. Tôi sẽ không mất cả cậu nữa, HENRY.

Hai chúng tôi đã đi theo một tín hiệu về phía nam xa xôi. Tôi biết đó là của chị tôi. Không nghi ngờ gì cả.

HENRY hoài nghi. Cậu ấy nghĩ cái lạnh sẽ nguy hiểm. Tôi sợ thứ gì đó ngoài kia trong cơn bão tuyết hơn...
~Bruno"
Story/Temperance/Bruno2;Text;;"There’s bears all over this frozen island!

One of them completely wrecked the boat when we tried to get away. None of the usual tricks worked either. HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. His name is Detto. Says he came here with some survivors.

I asked HENRY if I should trust the boy. But I didn’t get an answer.
~Bruno";"Có gấu khắp cả hòn đảo băng giá này!

Một con đã phá hủy hoàn toàn chiếc thuyền khi chúng tôi cố chạy trốn. Không mẹo nào trong số những mẹo thường dùng có tác dụng cả. HENRY và tôi lẽ ra đã bị ăn thịt nếu cậu bé với chiếc còi hơi đó không xuất hiện. Tên cậu ấy là Detto. Nói rằng cậu ấy đến đây cùng vài người sống sót.

Tôi hỏi HENRY liệu có nên tin cậu bé không. Nhưng tôi không nhận được câu trả lời.
~Bruno"
Story/Temperance/Bruno3;Text;;"Detto showed me and HENRY some abandoned igloos. The boy got them open by fiddling with some cables? The big igloo is still shut though. I wonder what’s inside…

Detto introduced me to a man named Ruben. He was hurt. Looked like wounds from a bear attack, so I helped fix up the wounds. Astrid used to fix up my wounds the same way.

Where are you, sis?
~Bruno";"Detto chỉ cho tôi và HENRY vài túp lều tuyết bị bỏ hoang. Cậu bé mở được chúng bằng cách nghịch vài sợi cáp? Túp lều tuyết lớn thì vẫn đóng kín. Tôi tự hỏi bên trong có gì...

Detto giới thiệu tôi với một người đàn ông tên Ruben. Anh ấy bị thương. Trông giống vết thương từ một cuộc tấn công của gấu, nên tôi đã giúp băng bó vết thương. Astrid từng băng bó vết thương cho tôi theo cách y hệt vậy.

Chị đang ở đâu vậy, chị ơi?
~Bruno"
Story/Temperance/Bruno4;Text;;"That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat. Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot. Both of them stare whenever I talk to HENRY…?

HENRY doesn’t like the way they look at us. I think I need to do something.
~Bruno";"Cậu nhóc Detto đó thực sự thông minh. Dùng vật liệu chúng tôi nhặt được, cậu ấy đã sửa được thuyền của tôi. Ruben cũng đang hồi phục, nhưng... anh ấy có vẻ không muốn nói chuyện với tôi nhiều. Cả hai đều nhìn chằm chằm mỗi khi tôi nói chuyện với HENRY...?

HENRY không thích cách họ nhìn chúng tôi. Tôi nghĩ tôi cần làm gì đó.
~Bruno"
Story/Temperance/Bruno5;Text;;"The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.

HENRY is staying behind. It’s bittersweet. He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. Detto says there’s a place with lots of people. Ruben says Astrid might be there. She definitely isn’t here, in this cold place.

It’s nice talking to people.
~Bruno";"Thuyền đã sẵn sàng lên đường. Detto đã sẵn sàng với chiếc còi hơi, và Ruben ít nhất có thể đi lại được.

HENRY sẽ ở lại. Thật vừa ngọt vừa đắng. Cậu ấy không còn nói chuyện với tôi nữa, nhưng tôi nghĩ sẽ an toàn hơn nếu có ai đó ở lại. Detto nói có một nơi có rất nhiều người. Ruben nói Astrid có thể ở đó. Chắc chắn chị ấy không có ở đây, nơi lạnh lẽo này.

Thật tốt khi được nói chuyện với mọi người.
~Bruno"
Story/Temperance/Sparrow1;Text;;"I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.

I was sent to Selene alongside two colleagues. One of which I discovered was a mole by the ‘investors’. Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.

The other colleague… I left behind. I did not trust you, Cuckoo. I couldn’t. It was too much of a risk. I hope you will forgive me.
~Sparrow";"Tôi được gọi là Sparrow. Bất cứ ai tìm thấy điều này, hãy biết rằng tôi luôn đặt lợi ích của nhân loại lên hàng đầu. Luôn luôn.

Tôi được cử đến Selene cùng hai đồng nghiệp. Một trong số họ tôi phát hiện ra là gián điệp của các 'nhà đầu tư'. Nếu Owl được phép đến Selene, kiến thức về nguồn năng lượng xanh vô hạn này sẽ bị độc quyền hóa bởi chính những người đã gây ra mớ hỗn độn này từ đầu.

Còn người đồng nghiệp kia... tôi đã bỏ lại. Tôi không tin cậu, Cuckoo. Tôi không thể. Rủi ro quá lớn. Tôi mong cậu sẽ tha thứ cho tôi.
~Sparrow"
Story/Temperance/Sparrow2;Text;;"The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities. No easy task. But it has been done. In theory. Yet we do not have the people to construct anything but a basic prototype. It can be built for real, I know it! We just need more people.

There’s a place where the rafters live in peace with any survivors of the old world. They call it Utopia. Maybe there we can begin to reverse the damage we’ve done. But we received a message from them yesterday. One of the ‘investors’ has taken control of the community. Olof Wilkstrom. I fear his intentions with this potential Utopia.
~Sparrow";"Cơ sở Selene được xây dựng cho một mục đích duy nhất: làm chủ và hoàn thiện các lò phản ứng thử nghiệm dùng để cấp năng lượng cho các thành phố nổi. Không phải việc dễ dàng. Nhưng nó đã được thực hiện. Về mặt lý thuyết. Nhưng chúng tôi không có đủ người để xây dựng bất cứ thứ gì ngoài một nguyên mẫu cơ bản. Nó có thể được xây dựng thật sự, tôi biết điều đó! Chúng tôi chỉ cần thêm người.

Có một nơi mà những người lái bè sống trong hòa bình cùng bất kỳ người sống sót nào của thế giới cũ. Họ gọi đó là Utopia. Có lẽ ở đó chúng tôi có thể bắt đầu khắc phục những thiệt hại đã gây ra. Nhưng hôm qua chúng tôi nhận được một thông điệp từ họ. Một trong các 'nhà đầu tư' đã chiếm quyền kiểm soát cộng đồng. Olof Wilkstrom. Tôi lo sợ về ý đồ của hắn với Utopia tiềm năng này.
~Sparrow"
Story/Temperance/Voiceline/Bruno1_1;Text;;I’ve already lost MIRANDA. I will not lose you too, HENRY.;Tôi đã mất MIRANDA rồi. Tôi sẽ không mất cả cậu nữa, HENRY.
Story/Temperance/Voiceline/Bruno1_2;Text;;The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. ;Hai chúng tôi đã đi theo một tín hiệu về phía nam xa xôi. Tôi biết đó là của chị tôi. Không nghi ngờ gì cả.
Story/Temperance/Voiceline/Bruno1_3;Text;;HENRY is skeptical. He thinks the cold will be dangerous.;HENRY hoài nghi. Cậu ấy nghĩ cái lạnh sẽ nguy hiểm.
Story/Temperance/Voiceline/Bruno1_4;Text;;I'm more scared of whatever’s out there in the snowstorm…;Tôi sợ thứ gì đó ngoài kia trong cơn bão tuyết hơn...
Story/Temperance/Voiceline/Bruno2_1;Text;;There’s bears all over this frozen island!;Có gấu khắp cả hòn đảo băng giá này!
Story/Temperance/Voiceline/Bruno2_2;Text;;One of them completely wrecked the boat when we tried to get away. ;Một con đã phá hủy hoàn toàn chiếc thuyền khi chúng tôi cố chạy trốn.
Story/Temperance/Voiceline/Bruno2_3;Text;;None of the usual tricks worked either. ;Không mẹo nào trong số những mẹo thường dùng có tác dụng cả.
Story/Temperance/Voiceline/Bruno2_4;Text;;HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. ;HENRY và tôi lẽ ra đã bị ăn thịt nếu cậu bé với chiếc còi hơi đó không xuất hiện.
Story/Temperance/Voiceline/Bruno2_5;Text;;His name is Detto. Says he came here with some survivors.;Tên cậu ấy là Detto. Nói rằng cậu ấy đến đây cùng vài người sống sót.
Story/Temperance/Voiceline/Bruno2_6;Text;;I asked HENRY if I should trust the boy. But I didn’t get an answer.;Tôi hỏi HENRY liệu có nên tin cậu bé không. Nhưng tôi không nhận được câu trả lời.
Story/Temperance/Voiceline/Bruno3_1;Text;;Detto showed me and HENRY some abandoned igloos.;Detto chỉ cho tôi và HENRY vài túp lều tuyết bị bỏ hoang.
Story/Temperance/Voiceline/Bruno3_2;Text;;The boy got them open by fiddling with some cables? The big igloo is still shut though.;Cậu bé mở được chúng bằng cách nghịch vài sợi cáp? Túp lều tuyết lớn thì vẫn đóng kín.
Story/Temperance/Voiceline/Bruno3_3;Text;;I wonder what’s inside…;Tôi tự hỏi bên trong có gì...
Story/Temperance/Voiceline/Bruno3_4;Text;;Detto introduced me to a man named Ruben. He was hurt.;Detto giới thiệu tôi với một người đàn ông tên Ruben. Anh ấy bị thương.
Story/Temperance/Voiceline/Bruno3_5;Text;;Looked like wounds from a bear attack, so I helped fix up the wounds.;Trông giống vết thương từ một cuộc tấn công của gấu, nên tôi đã giúp băng bó vết thương.
Story/Temperance/Voiceline/Bruno3_6;Text;;Astrid used to fix up my wounds the same way. Where are you, sis?;Astrid từng băng bó vết thương cho tôi theo cách y hệt vậy. Chị đang ở đâu vậy, chị ơi?
Story/Temperance/Voiceline/Bruno4_1;Text;;That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat.;Cậu nhóc Detto đó thực sự thông minh. Dùng vật liệu chúng tôi nhặt được, cậu ấy đã sửa được thuyền của tôi.
Story/Temperance/Voiceline/Bruno4_2;Text;;Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot.;Ruben cũng đang hồi phục, nhưng... anh ấy có vẻ không muốn nói chuyện với tôi nhiều.
Story/Temperance/Voiceline/Bruno4_3;Text;;Both of them stare whenever I talk to HENRY…?;Cả hai đều nhìn chằm chằm mỗi khi tôi nói chuyện với HENRY...?
Story/Temperance/Voiceline/Bruno4_4;Text;;HENRY doesn’t like the way they look at us. I think I need to do something.;HENRY không thích cách họ nhìn chúng tôi. Tôi nghĩ tôi cần làm gì đó.
Story/Temperance/Voiceline/Bruno5_1;Text;;The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.;Thuyền đã sẵn sàng lên đường. Detto đã sẵn sàng với chiếc còi hơi, và Ruben ít nhất có thể đi lại được.
Story/Temperance/Voiceline/Bruno5_2;Text;;HENRY is staying behind. It’s bittersweet.;HENRY sẽ ở lại. Thật vừa ngọt vừa đắng.
Story/Temperance/Voiceline/Bruno5_3;Text;;He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. ;Cậu ấy không còn nói chuyện với tôi nữa, nhưng tôi nghĩ sẽ an toàn hơn nếu có ai đó ở lại.
Story/Temperance/Voiceline/Bruno5_4;Text;;Detto says there’s a place with lots of people. Ruben says Astrid might be there.;Detto nói có một nơi có rất nhiều người. Ruben nói Astrid có thể ở đó.
Story/Temperance/Voiceline/Bruno5_5;Text;;She definitely isn’t here, in this cold place. It’s nice talking to people.;Chắc chắn chị ấy không có ở đây, nơi lạnh lẽo này. Thật tốt khi được nói chuyện với mọi người.
Story/Temperance/Voiceline/Sparrow1_1;Text;;I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.;Tôi được gọi là Sparrow. Bất cứ ai tìm thấy điều này, hãy biết rằng tôi luôn đặt lợi ích của nhân loại lên hàng đầu. Luôn luôn.
Story/Temperance/Voiceline/Sparrow1_2;Text;;I was sent to Selene alongside two colleagues.;Tôi được cử đến Selene cùng hai đồng nghiệp.
Story/Temperance/Voiceline/Sparrow1_3;Text;;One of which I discovered was a mole by the ‘investors’.;Một trong số họ tôi phát hiện ra là gián điệp của các 'nhà đầu tư'.
Story/Temperance/Voiceline/Sparrow1_4;Text;;Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.;Nếu Owl được phép đến Selene, kiến thức về nguồn năng lượng xanh vô hạn này sẽ bị độc quyền hóa bởi chính những người đã gây ra mớ hỗn độn này từ đầu.
Story/Temperance/Voiceline/Sparrow1_5;Text;;The other colleague… I left behind. I did not trust you, Cuckoo.;Còn người đồng nghiệp kia... tôi đã bỏ lại. Tôi không tin cậu, Cuckoo.
Story/Temperance/Voiceline/Sparrow1_6;Text;;I couldn’t. It was too much of a risk. I hope you will forgive me.;Tôi không thể. Rủi ro quá lớn. Tôi mong cậu sẽ tha thứ cho tôi.
Story/Temperance/Voiceline/Sparrow2_1;Text;;The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities.;Cơ sở Selene được xây dựng cho một mục đích duy nhất: làm chủ và hoàn thiện các lò phản ứng thử nghiệm dùng để cấp năng lượng cho các thành phố nổi.
